Index,Longitude,Latitude
0,-0.753016724364743,52.9052966645554
1,-0.753444981515141,52.9044566773124
2,-0.753861727343562,52.903649979154096
3,-0.753005033178361,52.902490025891
4,-0.752415077927078,52.9034016528272
5,-0.752004987081674,52.9042133459238
6,-0.751636624778434,52.90500332719569
7,-0.751224915153377,52.9057633532582
8,-0.749844995431473,52.90565834331431
9,-0.750295016174983,52.9047516456295
10,-0.75067003346124,52.9039733762254
11,-0.751320063424087,52.903073369530894
12,-0.751726736845779,52.9022183675524
13,-0.752115064098072,52.901494949580496
14,-0.752474972774235,52.9006083446766
15,-0.752698364366337,52.8997799841286
16,-0.75056661142786,52.9013033524558
17,-0.748830020589098,52.9044433337184
18,-0.748469932048529,52.9052083598047
